Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 1-13-2017  1:50PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  main.ngd
output file: main_pad.csv
Part type:   xc95216
Speed grade: -10
Package:     pq160

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P95,PORTA<5>,I/O,I/O,BIDIR,,,,,,,,,
P96,PORTA<6>,I/O,I/O,BIDIR,,,,,,,,,
P97,PORTA<7>,I/O,I/O,BIDIR,,,,,,,,,
P98,PORTA<8>,I/O,I/O,BIDIR,,,,,,,,,
P99,GND,,GND,,,,,,,,,,
P100,GND,,GND,,,,,,,,,,
P101,PORTA<9>,I/O,I/O,BIDIR,,,,,,,,,
P102,PORTA<10>,I/O,I/O,BIDIR,,,,,,,,,
P103,PORTA<11>,I/O,I/O,BIDIR,,,,,,,,,
P104,PORTA<12>,I/O,I/O,BIDIR,,,,,,,,,
P105,PORTA<13>,I/O,I/O,BIDIR,,,,,,,,,
P106,CPU10,I,I/O,INPUT,,,,,,,,,
P107,SYSCLK,I,I/O,INPUT,,,,,,,,,
P108,ALE,I,I/O,INPUT,,,,,,,,,
P109,DEN,I,I/O,INPUT,,,,,,,,,
P110,GND,,GND,,,,,,,,,,
P111,MIO,I,I/O,INPUT,,,,,,,,,
P112,EXTWR,I,I/O,INPUT,,,,,,,,,
P113,EXTRD,I,I/O,INPUT,,,,,,,,,
P114,BHE,I,I/O,INPUT,,,,,,,,,
P115,A<19>,I,I/O,INPUT,,,,,,,,,
P116,A<18>,I,I/O,INPUT,,,,,,,,,
P117,A<17>,I,I/O,INPUT,,,,,,,,,
P118,A<16>,I,I/O,INPUT,,,,,,,,,
P119,AD_E<15>,I/O,I/O,BIDIR,,,,,,,,,
P120,GND,,GND,,,,,,,,,,
P121,VCC,,VCCIO,,,,,,,,,,
P122,AD_E<14>,I/O,I/O,BIDIR,,,,,,,,,
P123,AD_E<13>,I/O,I/O,BIDIR,,,,,,,,,
P124,AD_E<12>,I/O,I/O,BIDIR,,,,,,,,,
P125,AD_E<11>,I/O,I/O,BIDIR,,,,,,,,,
P126,AD_E<10>,I/O,I/O,BIDIR,,,,,,,,,
P127,GND,,GND,,,,,,,,,,
P128,AD_E<9>,I/O,I/O,BIDIR,,,,,,,,,
P129,AD_E<8>,I/O,I/O,BIDIR,,,,,,,,,
P130,AD_E<7>,I/O,I/O,BIDIR,,,,,,,,,
P131,AD_E<6>,I/O,I/O,BIDIR,,,,,,,,,
P132,AD_E<5>,I/O,I/O,BIDIR,,,,,,,,,
P133,AD_E<4>,I/O,I/O,BIDIR,,,,,,,,,
P134,AD_E<3>,I/O,I/O,BIDIR,,,,,,,,,
P135,AD_E<2>,I/O,I/O,BIDIR,,,,,,,,,
P136,TDO,,TDO,,,,,,,,,,
P137,GND,,GND,,,,,,,,,,
P138,AD_E<1>,I/O,I/O,BIDIR,,,,,,,,,
P139,AD_E<0>,I/O,I/O,BIDIR,,,,,,,,,
P140,CPUCLK,I/O,I/O,BIDIR,,,,,,,,,
P141,VCC,,VCCIO,,,,,,,,,,
P142,RDY,O,I/O,OUTPUT,,,,,,,,,
P143,BHEQ,I/O,I/O,BIDIR,,,,,,,,,
P144,AQ<18>,O,I/O,OUTPUT,,,,,,,,,
P145,AQ<17>,O,I/O,OUTPUT,,,,,,,,,
P146,AQ<16>,O,I/O,OUTPUT,,,,,,,,,
